Machine Module,SSA3021X Plus,3.2.2.6.2R10
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+8.000000000E+00
Attenuation,28.000000,Auto
Sweep Time,351107.000000,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+1.000000000E+06
Average Type,Log Pwr
RBW,300.000000,Manual
VBW,300.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
368000,-47.05
369333,-46.58
370667,-46.81
372000,-47.23
373333,-47.36
374667,-45.60
376000,-47.14
377333,-46.68
378667,-46.29
380000,-46.55
381333,-46.42
382667,-47.33
384000,-46.23
385333,-47.06
386667,-46.23
388000,-47.48
389333,-46.18
390667,-46.60
392000,-47.48
393333,-47.44
394667,-47.90
396000,-46.91
397333,-46.86
398667,-46.95
400000,-46.64
401333,-46.70
402667,-46.66
404000,-46.93
405333,-47.07
406667,-47.54
408000,-46.89
409333,-47.67
410667,-47.01
412000,-46.73
413333,-46.87
414667,-47.22
416000,-48.09
417333,-45.68
418667,-47.29
420000,-47.92
421333,-46.87
422667,-47.18
424000,-47.45
425333,-47.60
426667,-47.88
428000,-47.62
429333,-47.10
430667,-47.38
432000,-47.52
433333,-47.16
434667,-48.29
436000,-48.51
437333,-48.35
438667,-46.92
440000,-47.58
441333,-46.77
442667,-47.56
444000,-47.59
445333,-47.18
446667,-47.97
448000,-48.20
449333,-48.24
450667,-47.27
452000,-47.46
453333,-48.37
454667,-48.33
456000,-45.94
457333,-46.83
458667,-47.86
460000,-48.39
461333,-47.92
462667,-45.87
464000,-45.88
465333,-48.04
466667,-48.05
468000,-48.18
469333,-49.15
470667,-47.79
472000,-48.22
473333,-48.75
474667,-48.08
476000,-48.91
477333,-48.98
478667,-48.64
480000,-48.42
481333,-48.00
482667,-47.90
484000,-48.64
485333,-49.26
486667,-49.01
488000,-48.35
489333,-49.27
490667,-47.82
492000,-48.99
493333,-47.49
494667,-48.46
496000,-48.47
497333,-48.36
498667,-48.58
500000,-48.90
501333,-48.34
502667,-47.54
504000,-48.44
505333,-48.17
506667,-49.15
508000,-49.17
509333,-49.62
510667,-48.59
512000,-48.77
513333,-49.26
514667,-48.90
516000,-49.53
517333,-48.85
518667,-49.63
520000,-49.04
521333,-49.43
522667,-49.04
524000,-48.92
525333,-48.86
526667,-50.34
528000,-49.62
529333,-49.49
530667,-48.85
532000,-48.13
533333,-48.42
534667,-49.40
536000,-49.00
537333,-48.48
538667,-49.53
540000,-48.45
541333,-49.84
542667,-46.86
544000,-48.44
545333,-48.57
546667,-49.51
548000,-50.08
549333,-48.83
550667,-49.66
552000,-49.90
553333,-49.39
